Serial No.;Sequenz;Verkaufsbeleg;Position;Name;MatBereitstell;Materialnummer;Text;Auftrag;MRP Contr.;Arbeitsplatz;Gewicht/1 ST [KG];Bedarfsmenge SD;Auftrag menge [TO];Gedrückt;Gedrückt [TO];Rest Presse;Rest Presse [TO];Oven/Furnace;Temprature;Prelim. Stage;MatVent.;Modellnummer;;;Quality;Quality-Version;YSOR vers.
1000;0;520002066;0;Century Aluminum Vlissingen B.V.;31.03.2016;8100068645;L2-510X86 IK46VP \ L2;1,1E+11;PR;P-SA-L3;9,836;300;3,128;330;3,246;-12;-0,118;TOS;1460.00;;1.00;M.-14467A;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
1001;0;520002066;0;Century Aluminum Vlissingen B.V.;29.04.2016;8100068649;M-510X173 IK46VP \ M;1,1E+11;PR;P-SA-L3;18,389;100;1,949;0;0;106;1,949;TOS;1460.00;;1.00;M.-14468C;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
1002;0;520002066;0;Century Aluminum Vlissingen B.V.;29.04.2016;8100068649;M-510X173 IK46VP \ M;1,1E+11;PR;P-SA-L3;18,389;100;1,949;116;2,133;-10;-0,184;TOS;1460.00;;1.00;M.-14468C;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
1003;0;520002066;0;Century Aluminum Vlissingen B.V.;31.03.2016;8100068650;E-510X86 OT61 \ E-OT61;1,1E+11;PR;P-SA-L3;16,118;50;0,854;0;0;53;0,854;TOS;1600.00;;1.00;M.-14475;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
1004;0;520002066;0;Century Aluminum Vlissingen B.V.;31.03.2016;8100068650;E-510X86 OT61 \ E-OT61;1,1E+11;PR;P-SA-L3;16,118;50;0,854;60;0,967;-7;-0,113;TOS;1600.00;;1.00;M.-14475;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
1005;0;520002066;0;Century Aluminum Vlissingen B.V.;29.04.2016;8100068650;E-510X86 OT61 \ E-OT61;1,1E+11;PR;P-SA-L3;16,118;200;3,417;0;0;212;3,417;TOS;1600.00;;1.00;M.-14475;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
1006;0;520002066;0;Century Aluminum Vlissingen B.V.;29.04.2016;8100068650;E-510X86 OT61 \ E-OT61;1,1E+11;PR;P-SA-L3;16,118;200;3,417;258;4,158;-46;-0,741;TOS;1600.00;;1.00;M.-14475;STANDARD,FORMMAß FORMATABHÄNGIG.;IK46VP-9.39901.002-S;900549;H001;'@9V@
1007;0;520002045;0;Walzen Irle GmbH;24.03.2016;8100052456;120/112.50.200 IK45 \ o.G.;1,1E+11;PR;P-SA-V4;2,668;1.500,00;4,269;0;0;1.600,00;4,269;TOS;1400.00;;0.00;M.-9498;STANDARD, A40T;IK45-9.38201.003-S;900548;H001;'@9V@
1008;0;520002045;0;Walzen Irle GmbH;24.03.2016;8100052456;120/112.50.200 IK45 \ o.G.;1,1E+11;PR;P-SA-V4;2,668;1.500,00;4,269;1.616,00;4,311;-16;-0,043;TOS;1400.00;;0.00;M.-9498;STANDARD, A40T;IK45-9.38201.003-S;900548;H001;'@9V@
1009;0;520001858;0;Riedhammer GmbH;04.03.2016;8100053521;315X124X64 IK50-ALU \ 315X124X64 IK50;1,1E+11;PR;P-SA-L1;5,975;3.035,00;19,228;0;0;3.218,00;19,228;TOS;1450.00;;2.00;M.-10264;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1010;0;520001858;0;Riedhammer GmbH;04.03.2016;8100053521;315X124X64 IK50-ALU \ 315X124X64 IK50;1,1E+11;PR;P-SA-L1;5,975;3.035,00;19,228;3.584,00;21,414;-366;-2,187;TOS;1450.00;;2.00;M.-10264;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1011;0;520001858;0;Riedhammer GmbH;04.03.2016;8100053566;330X124X64 IK50-ALU \ 330X124X64 IK50;1,1E+11;PR;P-SA-L1;6,259;4.250,00;28,197;0;0;4.505,00;28,197;TOS;1450.00;;2.00;M.-10263;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1012;0;520001858;0;Riedhammer GmbH;04.03.2016;8100053566;330X124X64 IK50-ALU \ 330X124X64 IK50;1,1E+11;PR;P-SA-L1;6,259;4.250,00;28,197;4.812,00;30,118;-307;-1,922;TOS;1450.00;;2.00;M.-10263;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1013;0;520001858;0;Riedhammer GmbH;04.03.2016;8100054497;98708 IK50-ALU \ 98708 IK50;1,1E+11;PR;P-SA-H2;18,403;728;14,207;0;0;772;14,207;TOS;1450.00;;1.00;M.-15146;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1014;0;520001858;0;Riedhammer GmbH;04.03.2016;8100054497;98708 IK50-ALU \ 98708 IK50;1,1E+11;PR;P-SA-H2;18,403;728;14,207;790;14,538;-18;-0,331;TOS;1450.00;;1.00;M.-15146;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1015;0;520001858;0;Riedhammer GmbH;04.03.2016;8100054511;99854 IK50-ALU \ 99854 IK50;1,1E+11;PR;P-SA-H2;23,613;1.060,00;26,541;0;0;1.124,00;26,541;TOS;1450.00;;1.00;M.-9613B;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1016;0;520001858;0;Riedhammer GmbH;04.03.2016;8100054511;99854 IK50-ALU \ 99854 IK50;1,1E+11;PR;P-SA-H2;23,613;1.060,00;26,541;2.271,00;53,625;-1.147;-27,084;TOS;1450.00;;1.00;M.-9613B;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1017;0;520001858;0;Riedhammer GmbH;04.03.2016;8100054513;99856 IK50-ALU \ 99856 IK50;1,1E+11;PR;P-SA-L1;28,011;1.060,00;31,484;0;0;1.124,00;31,484;TOS;1450.00;;1.00;M.-9614B;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1018;0;520001858;0;Riedhammer GmbH;04.03.2016;8100054513;99856 IK50-ALU \ 99856 IK50;1,1E+11;PR;P-SA-L1;28,011;1.060,00;31,484;1.756,00;49,187;-632;-17,703;TOS;1450.00;;1.00;M.-9614B;STANDARD, FORMMAß SETZMAß -0,3%;IK50ALU-9.39001.007-S;900648;H001;'@9V@
1019;0;520001884;0;Schott AG;01.03.2016;8100062924;2D ZS65AK \ 2D ZS65AK;1,1E+11;PR;P-SI-H2;15,2;100;1,611;0;0;106;1,611;MTO;1670.00;;1.00;M.-2052;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
1020;0;520001884;0;Schott AG;01.03.2016;8100062924;2D ZS65AK \ 2D ZS65AK;1,1E+11;PR;P-SI-H2;15,2;100;1,611;120;1,824;-14;-0,213;MTO;1670.00;;1.00;M.-2052;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
1021;0;520001884;0;Schott AG;01.03.2016;8100065365;375X250X130 ZS65AC \ P12 ZS65AC;1,1E+11;PR;P-SI-L5;46,314;55;2,733;0;0;59;2,733;MTO;1670.00;;1.00;M.-973A;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1022;0;520001884;0;Schott AG;01.03.2016;8100065365;375X250X130 ZS65AC \ P12 ZS65AC;1,1E+11;PR;P-SI-L5;46,314;55;2,733;64;2,964;-5;-0,232;MTO;1670.00;;1.00;M.-973A;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1023;0;520001884;0;Schott AG;01.03.2016;8100068662;500X500X100 ZS65AK \ P9 ZS65AK;1,1E+11;PR;P-SI-L5;95;8;0,855;0;0;9;0,855;MTO;1670.00;;1.00;M.-10414;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
1024;0;520001884;0;Schott AG;01.03.2016;8100068662;500X500X100 ZS65AK \ P9 ZS65AK;1,1E+11;PR;P-SI-L5;95;8;0,855;15;1,425;-6;-0,57;MTO;1670.00;;1.00;M.-10414;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
1025;0;520001884;0;Schott AG;01.03.2016;8100068663;GB2 ZS65AC \ GB2 ZS65AC;1,1E+11;PR;P-SI-L5;24,848;75;1,988;0;0;80;1,988;MTO;1670.00;;1.00;M.-12073D;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1026;0;520001884;0;Schott AG;01.03.2016;8100068663;GB2 ZS65AC \ GB2 ZS65AC;1,1E+11;PR;P-SI-L5;24,848;75;1,988;88;2,187;-8;-0,199;MTO;1670.00;;1.00;M.-12073D;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1027;0;520001884;0;Schott AG;01.03.2016;8100068668;KR42 ZS65AC \ KR42 ZS65AC;1,1E+11;PR;P-SI-V12;9,12;400;3,867;0;0;424;3,867;MTO;1670.00;;1.00;M.-16089A;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1028;0;520001884;0;Schott AG;01.03.2016;8100068668;KR42 ZS65AC \ KR42 ZS65AC;1,1E+11;PR;P-SI-V12;9,12;400;3,867;435;3,967;-11;-0,1;MTO;1670.00;;1.00;M.-16089A;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1029;0;520001884;0;Schott AG;01.03.2016;8100068670;Q31-01001 ZS65AC \ Q31-01001 ZS65AC;1,1E+11;PR;P-SI-H2;21,5;155;3,548;0;0;165;3,548;MTO;1670.00;;1.00;M.-16101;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1030;0;520001884;0;Schott AG;01.03.2016;8100068670;Q31-01001 ZS65AC \ Q31-01001 ZS65AC;1,1E+11;PR;P-SI-H2;21,5;155;3,548;170;3,655;-5;-0,108;MTO;1670.00;;1.00;M.-16101;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1031;0;520001884;0;Schott AG;01.03.2016;8100068670;Q31-01001 ZS65AC \ Q31-01001 ZS65AC;1,1E+11;PR;P-SI-H2;21,5;1;0,043;0;0;2;0,043;MTO;1670.00;;1.00;M.-16101;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1032;0;520001884;0;Schott AG;01.03.2016;8100068670;Q31-01001 ZS65AC \ Q31-01001 ZS65AC;1,1E+11;PR;P-SI-H2;21,5;1;0,043;5;0,108;-3;-0,065;MTO;1670.00;;1.00;M.-16101;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1033;0;520001884;0;Schott AG;01.03.2016;8100068671;Q31-01002 ZS65AC \ Q31-01002 ZS65AC;1,1E+11;PR;P-SI-H2;20,535;70;1,54;0;0;75;1,54;MTO;1670.00;;1.00;M.-16101A;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1034;0;520001884;0;Schott AG;01.03.2016;8100068671;Q31-01002 ZS65AC \ Q31-01002 ZS65AC;1,1E+11;PR;P-SI-H2;20,535;70;1,54;80;1,643;-5;-0,103;MTO;1670.00;;1.00;M.-16101A;STANDARD;ZS65AC-9.77301.002-S;900792;H001;'@5F@
1035;0;520001767;0;O-I Manufacturing France;18.12.2015;8100067988;112/109.450.150 GEH \ 112/109.450.150 GE;1,1E+11;PR;P-SI-V9;13,65;2.160,00;0,027;0;0;2;0,027;HWO;1435.00;;1.00;M.-14272;STANDARD, < 40KG;GEH-9.04001.063-S;900557;H001;'@9V@
1036;0;520001767;0;O-I Manufacturing France;18.12.2015;8100067988;112/109.450.150 GEH \ 112/109.450.150 GE;1,1E+11;PR;P-SI-V9;13,65;2.160,00;0,027;2;0,027;0;0;HWO;1435.00;;1.00;M.-14272;STANDARD, < 40KG;GEH-9.04001.063-S;900557;H001;'@9V@
1037;0;520001943;0;Hydro Aluminium A.S.;11.03.2016;8100053087;200-B HR50 \ o.G.;1,1E+11;PR;P-SA-H2;20,898;192;4,263;0;0;204;4,263;TOS;1460.00;;1.00;M.-14086;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
1038;0;520001943;0;Hydro Aluminium A.S.;11.03.2016;8100053087;200-B HR50 \ o.G.;1,1E+11;PR;P-SA-H2;20,898;192;4,263;210;4,389;-6;-0,125;TOS;1460.00;;1.00;M.-14086;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
1039;0;520001943;0;Hydro Aluminium A.S.;11.03.2016;8100053772;F274X250X131 OM60HA \ 44 OT60;1,1E+11;PR;P-SA-L3;20,898;144;3,197;0;0;153;3,197;TOS;1480.00;;1.00;M.-15259;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
1040;0;520001943;0;Hydro Aluminium A.S.;11.03.2016;8100053772;F274X250X131 OM60HA \ 44 OT60;1,1E+11;PR;P-SA-L3;20,898;144;3,197;165;3,448;-12;-0,251;TOS;1480.00;;1.00;M.-15259;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
1041;0;520001943;0;Hydro Aluminium A.S.;11.03.2016;8100054486;F250X220X131 OM60HA \ 96 OT60;1,1E+11;PR;P-SA-L1;17,802;600;11,322;0;0;636;11,322;TOS;1480.00;;1.00;M.-14504;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
1042;0;520001943;0;Hydro Aluminium A.S.;11.03.2016;8100054486;F250X220X131 OM60HA \ 96 OT60;1,1E+11;PR;P-SA-L1;17,802;600;11,322;648;11,536;-12;-0,214;TOS;1480.00;;1.00;M.-14504;STANDARD,AUTOMAT;OM60HA-9.41901.000-S;900503;H001;'@5F@
1043;0;520001942;0;Hydro Aluminium A.S.;11.03.2016;8100055715;SU111 HR50-K \ SU111 HR50;1,1E+11;PR;P-SA-L3;20,655;224;4,916;0;0;238;4,916;TOS;1460.00;;1.00;M.-15470;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.000-A;900696;H001;'@9V@
1044;0;520001942;0;Hydro Aluminium A.S.;11.03.2016;8100055715;SU111 HR50-K \ SU111 HR50;1,1E+11;PR;P-SA-L3;20,655;224;4,916;246;5,081;-8;-0,165;TOS;1460.00;;1.00;M.-15470;AUSWEICHVERSATZ,KASSETTEN;HR50-K-9.39861.000-A;900696;H001;'@9V@
1045;0;520001942;0;Hydro Aluminium A.S.;11.03.2016;8100055716;SU112 HR50 \ SU112 HR50;1,1E+11;PR;P-SA-V4;10,206;252;2,735;0;0;268;2,735;TOS;1460.00;;1.00;M.-15471;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
1046;0;520001942;0;Hydro Aluminium A.S.;11.03.2016;8100055716;SU112 HR50 \ SU112 HR50;1,1E+11;PR;P-SA-V4;10,206;252;2,735;294;3,001;-26;-0,265;TOS;1460.00;;1.00;M.-15471;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
1047;0;520001942;0;Hydro Aluminium A.S.;11.03.2016;8100055717;SU113 HR50 \ SU113 HR50;1,1E+11;PR;P-SA-H2;15,491;100;1,642;0;0;106;1,642;TOS;1460.00;;1.00;M.-15562;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
1048;0;520001942;0;Hydro Aluminium A.S.;11.03.2016;8100055717;SU113 HR50 \ SU113 HR50;1,1E+11;PR;P-SA-H2;15,491;100;1,642;110;1,704;-4;-0,062;TOS;1460.00;;1.00;M.-15562;STANDARD,VOLLSTEINE;HR50-9.39801.023-S;900547;H001;'@9V@
1049;0;520002124;0;TRIMET ALUMINIUM SE;15.04.2016;8100055084;F31-6 EIIB \ F31-6 BB80;1,1E+11;PR;P-SI-H2;7,825;64;0,665;0;0;85;0,665;TOS;1270.00;;0.00;M.-13386A;STANDARD, FORMMAß SETZHÖHE +0.75%, BB80;EIIB-9.23000.059-S;900694;H001;'@9V@
1050;0;520002124;0;TRIMET ALUMINIUM SE;15.04.2016;8100055084;F31-6 EIIB \ F31-6 BB80;1,1E+11;PR;P-SI-H2;7,825;64;0,665;90;0,704;-5;-0,039;TOS;1270.00;;0.00;M.-13386A;STANDARD, FORMMAß SETZHÖHE +0.75%, BB80;EIIB-9.23000.059-S;900694;H001;'@9V@
1051;0;;0;;;8100068959;DTR194MG_G ZM15AA-H \ o.G.;1,1E+11;HF;HAND;1,952;13;0,025;0;0;13;0,025;HWO;1450.00;;1.00;MG;VERSUCH,HANDFORM,TOPFRINGE;ZM15AA-H-9.70103.000-S;900809;H001;'@5F@
1052;0;;0;;;8100068959;DTR194MG_G ZM15AA-H \ o.G.;1,1E+11;HF;HAND;1,952;13;0,025;14;0,027;-1;-0,002;HWO;1450.00;;1.00;MG;VERSUCH,HANDFORM,TOPFRINGE;ZM15AA-H-9.70103.000-S;900809;H001;'@5F@
1053;0;;0;;;8100066905;ETR144CF_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,288;20;0,026;0;0;20;0,026;TOS;1230.00;;0.00;;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1054;0;;0;;;8100066905;ETR144CF_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,288;20;0,026;22;0,028;-2;-0,003;TOS;1230.00;;0.00;;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1055;0;;0;;;8100066480;DTR194MD_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,764;26;0,046;0;0;26;0,046;TOS;1230.00;;0.00;;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1056;0;;0;;;8100066480;DTR194MD_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,764;26;0,046;26;0,046;0;0;TOS;1230.00;;0.00;;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1057;0;;0;;;8100066580;DTR194KL_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,764;7;0,012;0;0;7;0,012;TOS;1230.00;;0.00;;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1058;0;;0;;;8100066580;DTR194KL_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,764;7;0,012;8;0,014;-1;-0,002;TOS;1230.00;;0.00;;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1059;0;;0;;;8100066588;ETR144BX_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,036;169;0,175;0;0;169;0,175;TOS;1230.00;;0.00;;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1060;0;;0;;;8100066588;ETR144BX_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,036;169;0,175;169;0,175;0;0;TOS;1230.00;;0.00;;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1061;0;;0;;;8100067736;ETR58BE_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,932;6;0,012;0;0;6;0,012;TOS;1230.00;;1.00;BE;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1062;0;;0;;;8100067736;ETR58BE_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,932;6;0,012;7;0,014;-1;-0,002;TOS;1230.00;;1.00;BE;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
1063;0;520002142;0;TRIMET ALUMINIUM SE;15.04.2016;8100056117;BR6 IK46VP \ o.G.;1,1E+11;PR;P-SI-V9;21,709;973;23,012;0;0;1.060,00;23,012;TOS;1460.00;;0.00;M.-15603A;AUSWEICHVERSATZ,FORMMAß FORMATABHÄNGIG;IK46VP-9.39901.039-A;900549;H003;'@9V@
1064;0;520002142;0;TRIMET ALUMINIUM SE;15.04.2016;8100056117;BR6 IK46VP \ o.G.;1,1E+11;PR;P-SI-V9;21,709;973;23,012;1.090,00;23,663;-30;-0,651;TOS;1460.00;;0.00;M.-15603A;AUSWEICHVERSATZ,FORMMAß FORMATABHÄNGIG;IK46VP-9.39901.039-A;900549;H003;'@9V@
1065;0;520001965;0;Izocam  Tic. ve San. A.S.;22.01.2016;8100063931;302287-S SL76LA-H \ o.G.;1,1E+11;HF;HAND;4,554;100;0,114;0;0;25;0,114;MTO;1500.00;;1.00;Y3411;STANDARD;SL76LA-H-9.43913.000-S;900784;H001;'@5F@
1066;0;520001965;0;Izocam  Tic. ve San. A.S.;22.01.2016;8100063931;302287-S SL76LA-H \ o.G.;1,1E+11;HF;HAND;4,554;100;0,114;25;0,114;0;0;MTO;1500.00;;1.00;Y3411;STANDARD;SL76LA-H-9.43913.000-S;900784;H001;'@5F@
1067;0;520001992;0;OGM-BI d.o.o.;14.04.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;108;1,144;0;0;115;1,144;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1068;0;520001992;0;OGM-BI d.o.o.;14.04.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;108;1,144;120;1,194;-5;-0,05;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1069;0;520001992;0;OGM-BI d.o.o.;13.05.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;54;0,577;0;0;58;0,577;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1070;0;520001992;0;OGM-BI d.o.o.;13.05.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;54;0,577;86;0,855;-28;-0,278;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1071;0;520001992;0;OGM-BI d.o.o.;12.08.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;54;0,577;0;0;58;0,577;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1072;0;520001992;0;OGM-BI d.o.o.;12.08.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;54;0,577;65;0,646;-7;-0,07;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1073;0;520001992;0;OGM-BI d.o.o.;14.09.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;54;0,577;0;0;58;0,577;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1074;0;520001992;0;OGM-BI d.o.o.;14.09.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;54;0,577;65;0,646;-7;-0,07;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1075;0;520002141;0;Carbone Savoie;26.02.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;100;1,054;0;0;106;1,054;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1076;0;520002141;0;Carbone Savoie;26.02.2016;8100054380;90206 LR50 \ 90206 LR50;1,1E+11;PR;P-SA-L3;9,946;100;1,054;120;1,194;-14;-0,139;TOS;1470.00;;1.00;M.-7290A;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1077;0;520001992;0;OGM-BI d.o.o.;14.04.2016;8100054388;90257 LR50 \ 90257 LR50;1,1E+11;PR;P-SA-L3;8,591;108;0,988;0;0;115;0,988;TOS;1470.00;;1.00;M.-7290;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1078;0;520001992;0;OGM-BI d.o.o.;14.04.2016;8100054388;90257 LR50 \ 90257 LR50;1,1E+11;PR;P-SA-L3;8,591;108;0,988;120;1,031;-5;-0,043;TOS;1470.00;;1.00;M.-7290;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1079;0;520001992;0;OGM-BI d.o.o.;13.05.2016;8100054388;90257 LR50 \ 90257 LR50;1,1E+11;PR;P-SA-L3;8,591;54;0,498;0;0;58;0,498;TOS;1470.00;;1.00;M.-7290;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1080;0;520001992;0;OGM-BI d.o.o.;13.05.2016;8100054388;90257 LR50 \ 90257 LR50;1,1E+11;PR;P-SA-L3;8,591;54;0,498;67;0,576;-9;-0,077;TOS;1470.00;;1.00;M.-7290;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1081;0;520001992;0;OGM-BI d.o.o.;13.10.2016;8100054388;90257 LR50 \ 90257 LR50;1,1E+11;PR;P-SA-L3;8,591;54;0,498;0;0;58;0,498;TOS;1470.00;;1.00;M.-7290;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1082;0;520001992;0;OGM-BI d.o.o.;13.10.2016;8100054388;90257 LR50 \ 90257 LR50;1,1E+11;PR;P-SA-L3;8,591;54;0,498;69;0,593;-11;-0,095;TOS;1470.00;;1.00;M.-7290;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1083;0;520002141;0;Carbone Savoie;26.02.2016;8100054388;90257 LR50 \ 90257 LR50;1,1E+11;PR;P-SA-L3;8,591;100;0,911;0;0;106;0,911;TOS;1470.00;;1.00;M.-7290;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1084;0;520002141;0;Carbone Savoie;26.02.2016;8100054388;90257 LR50 \ 90257 LR50;1,1E+11;PR;P-SA-L3;8,591;100;0,911;110;0,945;-4;-0,034;TOS;1470.00;;1.00;M.-7290;STANDARD, VOLLSTEIN;LR50-9.39701.002-S;900552;H001;'@9V@
1085;0;520002054;0;Heraeus Quartz UK Ltd.;18.03.2016;8100059796;3-76 ZS65AK \ 3-76 ZS65AK;1,1E+11;PR;P-SI-H2;12,996;50;1,378;0;0;106;1,378;MTO;1670.00;;1.00;M.-392;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
1086;0;520002054;0;Heraeus Quartz UK Ltd.;18.03.2016;8100059796;3-76 ZS65AK \ 3-76 ZS65AK;1,1E+11;PR;P-SI-H2;12,996;50;1,378;110;1,43;-4;-0,052;MTO;1670.00;;1.00;M.-392;STANDARD;ZS65AK-9.77201.008-S;900791;H001;'@9V@
1087;0;;0;;;8100066485;ETR144BP_G KR90AH-H \ o.G.;1,1E+11;HF;HAND;1,12;14;0,016;0;0;14;0,016;TOS;1230.00;;1.00;BP;VERSUCH,HANDFORM,TOPFRINGE;KR90AH-H-9.67303.000-S;900808;H001;'@5F@
